Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
OPL,ORANGE POLSKA SA,Communication,Equity,"3,550,211.55",0.01,"3,550,211.55","2,606,037.00",1.36,Poland,Warsaw Stock Exchange/Equities/Main Market,USD,4.7,PLN,-
600837,HAITONG SECURITIES LTD CLASS A,Financials,Equity,"3,549,754.19",0.01,"3,549,754.19","2,493,200.00",1.42,China,Shanghai Stock Exchange,USD,6.71,CNY,-
963,HUADONG MEDICINE LTD A,Health Care,Equity,"3,544,981.21",0.01,"3,544,981.21","524,005.00",6.77,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
3319,A-LIVING SERVICES LTD H,Real Estate,Equity,"3,531,737.18",0.01,"3,531,737.18","2,519,750.00",1.4,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
603986,GIGA DEVICE SEMICONDUCTOR (BEIJING,Information Technology,Equity,"3,527,388.13",0.01,"3,527,388.13","182,794.00",19.3,China,Shanghai Stock Exchange,USD,6.71,CNY,-
603806,HANGZHOU FIRST APPLIED MATERIAL LT,Information Technology,Equity,"3,492,119.47",0.01,"3,492,119.47","365,780.00",9.55,China,Shanghai Stock Exchange,USD,6.71,CNY,-
12750,S-1 CORP,Industrials,Equity,"3,486,928.41",0.01,"3,486,928.41","71,711.00",48.62,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
600926,BANK OF HANGZHOU LTD A,Financials,Equity,"3,480,196.42",0.01,"3,480,196.42","1,611,545.00",2.16,China,Shanghai Stock Exchange,USD,6.71,CNY,-
2709,GUANGZHOU TINCI MATERIALS TECHNOLO,Materials,Equity,"3,472,922.01",0.01,"3,472,922.01","357,400.00",9.72,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
BAM.R,BANGKOK COMMERCIAL ASSET MANAGEMEN,Financials,Equity,"3,460,774.10",0.01,"3,460,774.10","7,490,400.00",0.46,Thailand,Stock Exchange Of Thailand,USD,36.15,THB,-
2790,AMOREG,Consumer Staples,Equity,"3,427,330.64",0.01,"3,427,330.64","116,310.00",29.47,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
603833,OPPEIN HOME GROUP INC A,Consumer Discretionary,Equity,"3,426,789.04",0.01,"3,426,789.04","167,600.00",20.45,China,Shanghai Stock Exchange,USD,6.71,CNY,-
601877,ZHEJIANG CHINT ELECTRICS LTD A,Industrials,Equity,"3,411,394.21",0.01,"3,411,394.21","609,223.00",5.6,China,Shanghai Stock Exchange,USD,6.71,CNY,-
1040,CJ CORP,Industrials,Equity,"3,402,519.25",0.01,"3,402,519.25","57,734.00",58.93,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
CNVRG,CONVERGE INFORMATION & COMMU,Communication,Equity,"3,400,470.92",0.01,"3,400,470.92","8,992,000.00",0.38,Philippines,Philippine Stock Exchange Inc.,USD,56.06,PHP,-
876,NEW HOPE LIUHE LTD A,Consumer Staples,Equity,"3,399,561.66",0.01,"3,399,561.66","1,312,897.00",2.59,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
2202,XINJIANG GOLDWIND SCIENCE&TECHNOLO,Industrials,Equity,"3,399,464.07",0.01,"3,399,464.07","1,505,493.00",2.26,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
6185,CANSINO BIOLOGICS INC,Health Care,Equity,"3,396,639.93",0.01,"3,396,639.93","349,600.00",9.72,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
601100,JIANGSU HENGLI HYDRAULIC LTD A,Industrials,Equity,"3,379,235.45",0.01,"3,379,235.45","381,188.00",8.87,China,Shanghai Stock Exchange,USD,6.71,CNY,-
603993,CHINA MOLYBDENUM LTD A,Materials,Equity,"3,371,786.17",0.01,"3,371,786.17","4,207,198.00",0.8,China,Shanghai Stock Exchange,USD,6.71,CNY,-
IOCL,INDIAN OIL INTERIM,Energy,Equity,"3,366,615.67",0.01,"3,366,615.67","3,666,520.00",0.92,India,National Stock Exchange Of India,USD,79.18,INR,-
INCO,VALE INDONESIA,Materials,Equity,"3,331,464.39",0.01,"3,331,464.39","9,892,800.00",0.34,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
1995,CIFI EVER SUNSHINE SERVICES GROUP,Real Estate,Equity,"3,320,799.43",0.01,"3,320,799.43","3,110,000.00",1.07,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
601727,SHANGHAI ELECTRIC GROUP LTD A,Industrials,Equity,"3,308,553.83",0.01,"3,308,553.83","4,959,500.00",0.67,China,Shanghai Stock Exchange,USD,6.71,CNY,-
2736,GUOSEN SECURITIES LTD A,Financials,Equity,"3,301,402.53",0.01,"3,301,402.53","2,401,851.00",1.37,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
CCU,COMPANIA CERVECERIAS UNIDAS SA,Consumer Staples,Equity,"3,283,466.23",0.01,"3,283,466.23","529,842.00",6.2,Chile,Santiago Stock Exchange,USD,968.2,CLP,-
6280,GREEN CROSS(SOUTH KOREA) CORP,Health Care,Equity,"3,282,815.54",0.01,"3,282,815.54","23,639.00",138.87,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
