iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 10, 2022"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"191,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"C","CITIGROUP INC","Financials","Equity","29,601,393.92","0.16","29,601,393.92","539,384.00","54.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","29,024,317.13","0.16","29,024,317.13","655,048.00","44.31","United Kingdom","London Stock Exchange","USD","0.76","GBP","Jan 01, 1998"
"GE","GENERAL ELECTRIC","Industrials","Equity","28,991,521.21","0.16","28,991,521.21","317,437.00","91.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","28,986,719.32","0.16","28,986,719.32","105,131.00","275.72","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","28,691,177.26","0.16","28,691,177.26","160,834.00","178.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GSK","GLAXOSMITHKLINE PLC","Health Care","Equity","28,507,467.78","0.16","28,507,467.78","1,417,375.00","20.11","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"BP.","BP PLC","Energy","Equity","28,118,279.80","0.16","28,118,279.80","5,892,088.00","4.77","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"OR","LOREAL SA","Consumer Staples","Equity","27,971,130.41","0.16","27,971,130.41","74,928.00","373.31","France","Nyse Euronext - Euronext Paris","USD","0.91","EUR","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","27,636,689.49","0.15","27,636,689.49","539,463.00","51.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","26,925,345.12","0.15","26,925,345.12","858,831.00","31.35","India","National Stock Exchange Of India","USD","76.31","INR","-"
"CSL","CSL LTD","Health Care","Equity","26,716,375.95","0.15","26,716,375.95","138,030.00","193.55","Australia","Asx - All Markets","USD","1.36","AUD","-"
"ENB","ENBRIDGE INC","Energy","Equity","26,411,961.06","0.15","26,411,961.06","594,746.00","44.41","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","26,247,273.86","0.15","26,247,273.86","138,713.00","189.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","26,153,079.58","0.15","26,153,079.58","204,908.00","127.63","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","26,072,359.56","0.14","26,072,359.56","124,492.00","209.43","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","25,615,387.08","0.14","25,615,387.08","127,174.00","201.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RIO","RIO TINTO PLC","Materials","Equity","25,606,066.84","0.14","25,606,066.84","354,686.00","72.19","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"ALV","ALLIANZ","Financials","Equity","25,425,063.25","0.14","25,425,063.25","116,481.00","218.28","Germany","Xetra","USD","0.91","EUR","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","25,407,464.30","0.14","25,407,464.30","165,368.00","153.64","France","Nyse Euronext - Euronext Paris","USD","0.91","EUR","-"
